Date,Confirmed,Recovered,Deaths,Increase rate
1/22/2020,555,28,17,
1/23/2020,654,30,18,17.83783784
1/24/2020,941,36,26,43.88379205
1/25/2020,1434,39,42,52.39107333
1/26/2020,2118,52,56,47.69874477
1/27/2020,2927,61,82,38.19641171
1/28/2020,5578,107,131,90.57055005
1/29/2020,6166,126,133,10.54141269
1/30/2020,8234,143,171,33.53876095
1/31/2020,9926,222,213,20.54894341
2/1/2020,12038,284,259,21.27745315
2/2/2020,16787,472,362,39.45007476
2/3/2020,19887,623,426,18.46667064
2/4/2020,23898,852,492,20.16895459
2/5/2020,27643,1124,564,15.67076743
2/6/2020,30802,1487,634,11.42784792
2/7/2020,34395,2011,719,11.66482696
2/8/2020,37129,2616,806,7.948829772
2/9/2020,40159,3244,906,8.16073689
2/10/2020,42768,3946,1013,6.496675714
2/11/2020,44810,4683,1113,4.77459783
2/12/2020,45228,5150,1118,0.932827494
2/13/2020,60381,6295,1371,33.50358185
2/14/2020,66908,8058,1523,10.80969179
2/15/2020,69050,9395,1666,3.201410893
2/16/2020,71234,10865,1770,3.162925416
2/17/2020,73269,12583,1868,2.856781874
2/18/2020,75151,14352,2008,2.568617014
2/19/2020,75651,16121,2123,0.665327141
2/20/2020,76211,18177,2248,0.740241372
2/21/2020,76840,18890,2252,0.825340174
2/22/2020,78601,22886,2459,2.291775117
2/23/2020,78981,23394,2470,0.483454409
2/24/2020,79545,25227,2630,0.714095795
2/25/2020,80398,27905,2710,1.072348985
2/26/2020,81375,30384,2771,1.215204358
2/27/2020,82735,33277,2814,1.671274962
2/28/2020,84120,36711,2873,1.67401946
2/29/2020,86013,39782,2942,2.250356633
3/1/2020,88395,42716,2996,2.769348819
3/2/2020,90372,45602,3085,2.236551841
3/3/2020,92957,48228,3160,2.860399239
3/4/2020,95272,51170,3255,2.490398787
3/5/2020,98028,53796,3348,2.892770174
3/6/2020,102018,55865,3460,4.070265638
3/7/2020,106036,58359,3559,3.938520653
3/8/2020,109993,60694,3803,3.731751481
3/9/2020,113946,62493,3987,3.593865064
3/10/2020,118967,64404,4267,4.406473242
3/11/2020,126675,67002,4611,6.479107652
3/12/2020,132450,68324,4917,4.558910598
3/13/2020,146783,70251,5414,10.82144205
